Admin Graphql Api Id,Order Number,Billing Address Country,Billing Address First Name,Billing Address Last Name,Billing Address Province,Billing Address Zip,CITY,Currency,Customer Id,Invoice Date,Gateway,Product Id,Product Type,Variant Id,Quantity,Subtotal Price,Total Price Usd,Total Tax,Full Name
gid://shopify/LineItem/2153619128398,1681,United States,Vanni,Wimpenny,Texas,88446,Houston,USD,2865,2025-03-19 17:27:00,shopify_payments,150000000000.0,Climbing Shoes,1470000000000.0,1,535.13,588.643,53.513,Vanni Wimpenny
gid://shopify/LineItem/2160863674446,6972,United States,Marc,Netley,Louisiana,50466,Monroe,USD,4987,2025-03-24 15:42:00,shopify_payments,150000000000.0,Climbing Shoes,1470000000000.0,1,578.33,636.163,57.833,Marc Netley
gid://shopify/LineItem/2157784006734,4994,United States,Elwyn,Colebourn,Texas,67432,Houston,USD,5472,2025-03-22 18:32:00,shopify_payments,150000000000.0,Climbing Shoes,1470000000000.0,1,594.33,653.763,59.433,Elwyn Colebourn
gid://shopify/LineItem/2151551729742,206,United States,Gannie,Busst,Texas,56331,El paso,USD,3227,2025-03-18 10:51:00,manual,150000000000.0,Climbing Shoes,1470000000000.0,1,487.13,535.843,48.713,Gannie Busst
gid://shopify/LineItem/2157085786190,4346,United States,Weston,Lomasny,Florida,70043,Panama city,USD,1874,2025-03-22 09:55:00,paypal,150000000000.0,Climbing Shoes,1470000000000.0,1,535.13,588.643,53.513,Weston Lomasny
gid://shopify/LineItem/2159012479054,5656,United States,Koren,Alelsandrowicz,Illinois,51697,Springfield,USD,607,2025-03-23 13:47:00,shopify_payments,166000000000.0,Climbing Shoes,1560000000000.0,1,741.13,815.243,74.113,Koren Alelsandrowicz
gid://shopify/LineItem/2160327950414,6507,United States,Isaiah,Ditt,Wisconsin,36126,Green bay,USD,5134,2025-03-24 10:18:00,shopify_payments,166000000000.0,Climbing Shoes,1560000000000.0,1,1036.73,1140.403,103.673,Isaiah Ditt
gid://shopify/LineItem/2160746299470,6890,United States,Hadlee,Szimoni,Indiana,55467,Lafayette,USD,4689,2025-03-24 14:26:00,shopify_payments,166000000000.0,Climbing Shoes,1560000000000.0,1,1038.33,1142.163,103.833,Hadlee Szimoni
gid://shopify/LineItem/2160156573774,6284,United States,Fredrika,Winslade,Illinois,12320,Chicago,USD,5613,2025-03-24 07:19:00,paypal,6158163269.0,Running Shoes,20057339205.0,1,508.13,558.943,50.813,Fredrika Winslade
gid://shopify/LineItem/2160156737614,6285,United States,Emelen,Reveland,California,34046,Burbank,USD,4038,2025-03-24 07:19:00,shopify_payments,6158163269.0,Climbing Shoes,20057339205.0,1,713.13,784.443,71.313,Emelen Reveland
